,typeofaction,sourceid,destinationid,amountofmoney,date,isfraud,typeoffraud
0,cash-in,30105,28942,494528,2019-07-19 14:40:00,1,type1
1,cash-in,30105,8692,494528,2019-05-17 14:57:00,1,type1
2,cash-in,30105,60094,494528,2019-07-20 13:20:00,1,type1
3,cash-in,30105,20575,494528,2019-07-03 14:15:00,1,type1
4,cash-in,30105,45938,494528,2019-05-26 10:40:00,1,type1
5,cash-in,30105,54971,494528,2019-04-06 11:18:00,1,type1
6,cash-in,30105,62257,494528,2019-04-23 08:20:00,1,type1
7,cash-in,30105,1020,494528,2019-07-04 08:59:00,1,type1
8,cash-in,30105,98751,494528,2019-05-06 12:49:00,1,type1
9,cash-in,30105,82016,494528,2019-06-09 12:27:00,1,type1
10,cash-in,30105,13800,494528,2019-04-17 08:18:00,1,type1
11,cash-in,30105,52681,494529,2019-07-18 13:57:00,1,type1
12,cash-in,30105,80113,494529,2019-03-27 13:13:00,1,type1
13,cash-in,30105,64316,494529,2019-06-09 11:43:00,1,type1
14,cash-in,30105,94472,494529,2019-02-21 12:34:00,1,type1
15,cash-in,30105,23762,494529,2019-04-07 12:43:00,1,type1
16,cash-in,30105,12860,494529,2019-04-28 15:08:00,1,type1
17,cash-in,30105,61008,494529,2019-04-19 15:02:00,1,type1
18,cash-in,30105,3164,494529,2019-05-19 09:26:00,1,type1
19,cash-in,30105,24259,494529,2019-04-20 11:48:00,1,type1
20,cash-in,80740,29758,388294,2019-05-03 11:40:00,1,type1
21,cash-in,80740,47869,388294,2019-06-14 08:10:00,1,type1
22,cash-in,80740,79227,388294,2019-03-05 13:22:00,1,type1
23,cash-in,80740,68225,388294,2019-03-03 09:24:00,1,type1
24,cash-in,80740,65031,388294,2019-03-10 12:45:00,1,type1
25,cash-in,80740,90735,388294,2019-07-17 15:53:00,1,type1
26,cash-in,80740,84696,388294,2019-03-04 08:11:00,1,type1
27,cash-in,80740,67988,388294,2019-05-25 14:38:00,1,type1
28,cash-in,80740,33384,388294,2019-05-22 12:52:00,1,type1
29,cash-in,80740,57761,388294,2019-05-06 15:18:00,1,type1
30,cash-in,80740,90295,388294,2019-06-26 13:33:00,1,type1
31,cash-in,80740,28815,388294,2019-04-27 10:52:00,1,type1
32,cash-in,80740,39965,388295,2019-06-12 12:18:00,1,type1
33,cash-in,80740,48861,388295,2019-03-15 10:44:00,1,type1
34,cash-in,80740,96543,388295,2019-07-17 11:31:00,1,type1
35,cash-in,80740,83049,388295,2019-03-05 08:02:00,1,type1
36,cash-in,80740,36644,388295,2019-05-30 11:56:00,1,type1
37,cash-in,80740,12726,388295,2019-04-05 09:00:00,1,type1
38,cash-in,80740,38032,388295,2019-06-06 10:43:00,1,type1
39,cash-in,80740,19808,388295,2019-06-08 14:14:00,1,type1
40,cash-in,92735,16792,306536,2019-06-20 10:05:00,1,type1
41,cash-in,92735,98862,306536,2019-03-21 09:18:00,1,type1
42,cash-in,92735,64222,306536,2019-03-30 15:16:00,1,type1
43,cash-in,92735,45890,306536,2019-05-09 12:22:00,1,type1
44,cash-in,92735,76199,306536,2019-05-06 14:13:00,1,type1
45,cash-in,92735,94635,306536,2019-03-20 12:07:00,1,type1
46,cash-in,92735,11443,306536,2019-05-12 13:30:00,1,type1
47,cash-in,92735,82726,306536,2019-03-30 12:56:00,1,type1
48,cash-in,92735,78865,306536,2019-07-05 11:54:00,1,type1
49,cash-in,92735,93295,306536,2019-04-08 08:15:00,1,type1
50,cash-in,92735,23512,306536,2019-03-15 15:38:00,1,type1
51,cash-in,92735,62065,306536,2019-04-15 12:53:00,1,type1
52,cash-in,92735,63711,306536,2019-02-25 11:51:00,1,type1
53,cash-in,92735,34121,306536,2019-06-25 15:13:00,1,type1
54,cash-in,92735,53801,306536,2019-06-20 12:38:00,1,type1
55,cash-in,92735,41429,306536,2019-03-03 12:11:00,1,type1
56,cash-in,92735,12806,306537,2019-05-12 08:09:00,1,type1
57,cash-in,92735,58732,306537,2019-07-14 09:57:00,1,type1
58,cash-in,92735,9507,306537,2019-03-23 08:57:00,1,type1
59,cash-in,92735,61512,306537,2019-04-10 09:21:00,1,type1
60,cash-in,92735,87991,306537,2019-04-24 12:08:00,1,type1
61,cash-in,92735,83840,306537,2019-07-10 12:19:00,1,type1
62,cash-in,92735,30584,306537,2019-03-04 13:14:00,1,type1
63,cash-in,92735,17423,306537,2019-02-25 09:06:00,1,type1
64,cash-in,92735,44570,306537,2019-07-01 15:24:00,1,type1
65,cash-in,1615,72623,639229,2019-07-18 10:54:00,1,type1
66,cash-in,1615,6322,639229,2019-04-25 11:17:00,1,type1
67,cash-in,1615,19592,639229,2019-03-09 13:25:00,1,type1
68,cash-in,1615,21254,639230,2019-04-23 13:29:00,1,type1
69,cash-in,1615,54400,639230,2019-05-30 12:44:00,1,type1
70,cash-in,1615,8552,639230,2019-03-05 15:25:00,1,type1
71,cash-in,1615,80966,639230,2019-05-20 12:29:00,1,type1
72,cash-in,1615,46860,639230,2019-05-14 14:17:00,1,type1
73,cash-in,1615,7203,639230,2019-03-29 13:15:00,1,type1
74,cash-in,1615,11667,639230,2019-05-13 10:34:00,1,type1
75,cash-in,1615,6054,639230,2019-05-26 15:33:00,1,type1
76,cash-in,1615,37081,639230,2019-03-18 12:46:00,1,type1
77,cash-in,1615,33284,639230,2019-04-16 14:32:00,1,type1
78,cash-in,1615,3335,639230,2019-07-04 15:30:00,1,type1
79,cash-in,4161,7806,249081,2019-06-15 12:36:00,1,type1
80,cash-in,4161,93672,249081,2019-03-14 12:30:00,1,type1
81,cash-in,4161,75260,249081,2019-03-28 09:03:00,1,type1
82,cash-in,4161,52002,249081,2019-03-21 11:11:00,1,type1
83,cash-in,4161,50023,249081,2019-06-04 08:29:00,1,type1
84,cash-in,4161,7038,249081,2019-06-16 10:10:00,1,type1
85,cash-in,4161,32828,249081,2019-05-23 12:40:00,1,type1
86,cash-in,4161,99617,249081,2019-05-15 08:27:00,1,type1
87,cash-in,4161,34858,249081,2019-06-19 09:13:00,1,type1
88,cash-in,4161,28744,249081,2019-02-21 12:14:00,1,type1
89,cash-in,4161,43619,249081,2019-05-03 13:21:00,1,type1
90,cash-in,4161,96342,249082,2019-03-06 13:59:00,1,type1
91,cash-in,4161,27404,249082,2019-05-31 14:39:00,1,type1
92,cash-in,4161,1599,249082,2019-06-15 11:02:00,1,type1
93,cash-in,4161,98501,249082,2019-04-26 14:40:00,1,type1
94,cash-in,4161,94376,249082,2019-03-03 08:06:00,1,type1
95,cash-in,4161,44546,249082,2019-06-18 12:25:00,1,type1
96,cash-in,4161,6724,249082,2019-06-22 13:58:00,1,type1
97,cash-in,4161,10834,249082,2019-06-14 13:33:00,1,type1
98,cash-in,4161,88949,249082,2019-03-05 15:22:00,1,type1
99,cash-in,4161,54547,249082,2019-05-21 13:15:00,1,type1
100,cash-in,4161,76270,249082,2019-03-10 08:46:00,1,type1
101,cash-in,4161,64321,249082,2019-04-26 11:19:00,1,type1
102,cash-in,4161,73770,249082,2019-06-16 14:15:00,1,type1
103,cash-in,4161,39477,249082,2019-03-26 10:08:00,1,type1
104,cash-in,4161,29501,249082,2019-06-11 09:09:00,1,type1
105,cash-in,4161,2174,249082,2019-05-03 13:25:00,1,type1
106,cash-in,4161,83480,249082,2019-05-25 12:15:00,1,type1
107,cash-in,4161,49193,249082,2019-02-23 13:23:00,1,type1
108,cash-in,33203,7242,882647,2019-03-14 10:24:00,1,type1
109,cash-in,33203,784,882647,2019-05-26 11:10:00,1,type1
110,cash-in,33203,65196,882647,2019-07-06 09:36:00,1,type1
111,cash-in,33203,80364,882647,2019-02-26 15:14:00,1,type1
112,cash-in,33203,8056,882647,2019-07-02 12:53:00,1,type1
113,cash-in,33203,69621,882647,2019-05-07 13:58:00,1,type1
114,cash-in,33203,97479,882648,2019-06-04 15:08:00,1,type1
115,cash-in,33203,34537,882648,2019-06-11 14:44:00,1,type1
116,cash-in,33203,15088,882648,2019-07-17 11:31:00,1,type1
117,cash-in,41969,65969,1835026,2019-03-26 12:37:00,1,type1
118,cash-in,41969,13881,1835026,2019-02-26 14:29:00,1,type1
119,cash-in,41969,76026,1835027,2019-07-05 09:53:00,1,type1
120,cash-in,41969,92875,1835027,2019-04-26 14:31:00,1,type1
121,cash-in,41969,69841,1835027,2019-07-09 14:27:00,1,type1
122,cash-in,37177,21392,362164,2019-03-09 12:03:00,1,type1
123,cash-in,37177,90607,362164,2019-05-19 08:37:00,1,type1
124,cash-in,37177,88400,362164,2019-06-14 10:31:00,1,type1
125,cash-in,37177,70964,362164,2019-07-16 13:13:00,1,type1
126,cash-in,37177,63029,362164,2019-04-15 12:00:00,1,type1
127,cash-in,37177,80337,362164,2019-03-15 13:43:00,1,type1
128,cash-in,37177,14656,362164,2019-05-26 13:50:00,1,type1
129,cash-in,37177,89730,362164,2019-07-11 09:22:00,1,type1
130,cash-in,37177,93055,362164,2019-04-20 13:19:00,1,type1
131,cash-in,37177,68699,362164,2019-03-15 12:50:00,1,type1
132,cash-in,37177,68229,362164,2019-04-12 14:04:00,1,type1
133,cash-in,37177,13407,362164,2019-05-06 10:43:00,1,type1
134,cash-in,37177,887,362164,2019-06-22 15:41:00,1,type1
135,cash-in,37177,48011,362164,2019-05-21 10:25:00,1,type1
136,cash-in,37177,3092,362164,2019-04-11 13:18:00,1,type1
137,cash-in,37177,57772,362164,2019-03-03 12:57:00,1,type1
138,cash-in,37177,31269,362164,2019-07-05 11:30:00,1,type1
139,cash-in,37177,69355,362164,2019-06-13 12:34:00,1,type1
140,cash-in,37177,9363,362164,2019-03-02 10:13:00,1,type1
141,cash-in,37177,30714,362164,2019-07-06 10:29:00,1,type1
142,cash-in,37177,39631,362164,2019-02-23 09:54:00,1,type1
143,cash-in,37177,33994,362164,2019-07-10 15:04:00,1,type1
144,cash-in,37177,96016,362164,2019-03-17 11:53:00,1,type1
145,cash-in,37177,67648,362164,2019-03-30 13:38:00,1,type1
146,cash-in,31439,89434,554345,2019-06-11 11:22:00,1,type1
147,cash-in,31439,90146,554345,2019-04-28 08:03:00,1,type1
148,cash-in,31439,8611,554345,2019-04-03 09:39:00,1,type1
149,cash-in,31439,3183,554345,2019-05-22 08:33:00,1,type1
150,cash-in,31439,18533,554345,2019-07-03 13:00:00,1,type1
151,cash-in,31439,6470,554345,2019-04-30 13:51:00,1,type1
152,cash-in,31439,27405,554345,2019-07-01 14:49:00,1,type1
153,cash-in,31439,97140,554345,2019-05-02 10:37:00,1,type1
154,cash-in,31439,58911,554346,2019-05-07 15:56:00,1,type1
155,cash-in,31439,20213,554346,2019-05-24 13:06:00,1,type1
156,cash-in,31439,17450,554346,2019-04-14 13:51:00,1,type1
157,cash-in,31439,63072,554346,2019-02-28 15:48:00,1,type1
158,cash-in,31439,84089,554346,2019-04-19 12:58:00,1,type1
159,cash-in,31439,42081,554346,2019-02-27 13:07:00,1,type1
160,cash-in,84352,79147,640046,2019-06-13 09:54:00,1,type1
161,cash-in,84352,80053,640046,2019-02-21 08:30:00,1,type1
162,cash-in,84352,61309,640047,2019-04-19 10:45:00,1,type1
163,cash-in,84352,54502,640047,2019-06-05 10:09:00,1,type1
164,cash-in,84352,94793,640047,2019-06-19 09:11:00,1,type1
165,cash-in,84352,24728,640047,2019-03-13 09:45:00,1,type1
166,cash-in,84352,36919,640047,2019-06-28 09:20:00,1,type1
167,cash-in,84352,46738,640047,2019-06-14 09:13:00,1,type1
168,cash-in,84352,62404,640047,2019-04-08 15:36:00,1,type1
169,cash-in,84352,49860,640047,2019-07-15 15:00:00,1,type1
170,cash-in,84352,9117,640047,2019-06-06 08:18:00,1,type1
171,cash-in,95615,43405,708894,2019-04-29 08:54:00,1,type1
172,cash-in,95615,97885,708894,2019-03-06 10:57:00,1,type1
173,cash-in,95615,15768,708894,2019-05-29 14:24:00,1,type1
174,cash-in,95615,13218,708894,2019-03-10 12:09:00,1,type1
175,cash-in,95615,93239,708894,2019-05-30 13:15:00,1,type1
176,cash-in,95615,20217,708895,2019-03-16 15:01:00,1,type1
177,cash-in,95615,13591,708895,2019-06-28 14:12:00,1,type1
178,cash-in,95615,65665,708895,2019-02-21 13:04:00,1,type1
179,cash-in,95615,27376,708895,2019-03-23 13:58:00,1,type1
180,cash-in,95615,1638,708895,2019-04-26 11:53:00,1,type1
181,cash-in,95615,35853,708895,2019-06-10 13:31:00,1,type1
182,cash-in,95615,70742,708895,2019-03-19 11:54:00,1,type1
183,cash-in,41220,39061,1769355,2019-06-24 14:07:00,1,type1
184,cash-in,41220,48727,1769355,2019-04-22 13:08:00,1,type1
185,cash-in,41220,21809,1769355,2019-04-03 14:12:00,1,type1
186,cash-in,41220,26639,1769356,2019-06-03 10:35:00,1,type1
187,cash-in,39284,62427,274171,2019-06-08 08:35:00,1,type1
188,cash-in,39284,87467,274171,2019-03-22 12:24:00,1,type1
189,cash-in,39284,53948,274171,2019-05-20 10:31:00,1,type1
190,cash-in,39284,5032,274171,2019-06-10 08:50:00,1,type1
191,cash-in,39284,68774,274171,2019-06-11 09:39:00,1,type1
192,cash-in,39284,40321,274171,2019-03-25 11:15:00,1,type1
193,cash-in,39284,95596,274171,2019-06-17 08:56:00,1,type1
194,cash-in,39284,2955,274171,2019-06-24 12:30:00,1,type1
195,cash-in,39284,91794,274171,2019-07-09 08:05:00,1,type1
196,cash-in,39284,45479,274171,2019-06-25 09:17:00,1,type1
197,cash-in,39284,63272,274171,2019-03-09 15:45:00,1,type1
198,cash-in,39284,67144,274171,2019-07-04 09:31:00,1,type1
199,cash-in,39284,7228,274171,2019-05-06 12:59:00,1,type1
200,cash-in,39284,47704,274171,2019-06-23 15:43:00,1,type1
201,cash-in,39284,74691,274171,2019-06-18 10:32:00,1,type1
202,cash-in,39284,4429,274171,2019-07-03 14:11:00,1,type1
203,cash-in,39284,13670,274171,2019-07-01 11:54:00,1,type1
204,cash-in,39284,85867,274171,2019-07-12 14:38:00,1,type1
205,cash-in,39284,18192,274171,2019-06-07 11:16:00,1,type1
206,cash-in,39284,28414,274171,2019-07-19 10:59:00,1,type1
207,cash-in,39284,55092,274171,2019-03-22 11:36:00,1,type1
208,cash-in,39284,4394,274171,2019-03-30 08:16:00,1,type1
209,cash-in,39284,74901,274171,2019-06-23 11:35:00,1,type1
210,cash-in,39284,2683,274171,2019-06-28 12:27:00,1,type1
211,cash-in,39284,87826,274171,2019-02-21 11:08:00,1,type1
212,cash-in,39284,13963,274171,2019-03-06 15:23:00,1,type1
213,cash-in,39284,29925,274171,2019-07-10 10:07:00,1,type1
214,cash-in,39284,61097,274172,2019-03-04 12:59:00,1,type1
215,cash-in,39284,13638,274172,2019-06-01 12:21:00,1,type1
216,cash-in,82688,77924,292038,2019-05-31 11:17:00,1,type1
217,cash-in,82688,91706,292038,2019-02-27 14:21:00,1,type1
218,cash-in,82688,87880,292038,2019-03-31 13:40:00,1,type1
219,cash-in,82688,18305,292038,2019-05-31 11:10:00,1,type1
220,cash-in,82688,74062,292038,2019-05-05 08:47:00,1,type1
221,cash-in,82688,83006,292038,2019-05-23 09:58:00,1,type1
222,cash-in,82688,39778,292038,2019-05-30 14:01:00,1,type1
223,cash-in,82688,32368,292038,2019-04-20 11:43:00,1,type1
224,cash-in,82688,12943,292038,2019-03-12 11:23:00,1,type1
225,cash-in,82688,67262,292038,2019-04-13 09:31:00,1,type1
